Nombre de Archivo,Fecha de Creación,Fecha de Último Acceso,Tamaño del Archivo (bytes),Tipo de Archivo
2023F-BAMM-T3-G1.Pdf,2023-08-21 20:27:37,2023-08-21 20:30:26,145029,application/pdf
2023F-T3_BAM 3034_01 Grades.ods,2023-12-25 19:37:36,2023-12-25 19:38:23,11339,application/vnd.oasis.opendocument.spreadsheet
2023W-BAMM-T2-G1.Pdf,2022-12-20 19:59:57,2023-02-03 10:59:14,597569,application/pdf
2023_8_638285912135388201_Matricula_704797_MatriculaFirmada.pdf,2023-08-25 14:15:13,2023-08-25 14:15:18,262344,application/pdf
23' Resume - Aurora Duran..pdf,2023-02-25 19:52:56,2023-02-25 19:53:27,36392,application/pdf
247306,2019-06-23 19:32:08,2022-03-24 22:57:44,916022,Desconocido
"25, CARLOS VASCONEZ SWETT.pdf",2024-01-19 10:15:30,2024-01-19 10:17:02,43466,application/pdf
2_BDD_ACTIVIDAD_FISICA_2022_12_CSV.zip,2024-02-06 10:23:09,2024-02-06 10:45:06,1378052,application/x-zip-compressed
30-curriculum-vitae-clasico-rojo-ingles.odt,2019-06-16 18:33:19,2022-03-24 22:57:44,170099,application/vnd.oasis.opendocument.text
3e436bf2-0322-4f2f-8825-abfc31e377cd.jpg,2020-10-06 17:48:12,2023-09-16 21:38:26,71786,image/jpeg
3_Mug_Designs__Dogs01 (1).png,2018-01-13 11:19:36,2023-09-18 21:36:42,69554,image/png
3_Mug_Designs__Dogs01.png,2017-11-13 22:20:11,2022-09-04 20:43:03,69554,image/png
3_Mug_Designs__Dogs02 (1).png,2018-01-13 11:19:21,2022-08-23 12:43:18,39127,image/png
3_Mug_Designs__Dogs02.jpg,2018-01-13 11:20:16,2023-11-21 10:59:46,700568,image/jpeg
3_Mug_Designs__Dogs02.png,2017-11-13 22:20:06,2022-09-04 20:43:03,39127,image/png
3_Mug_Designs__Dogs03 (1).png,2018-01-13 11:19:55,2023-09-18 21:36:42,78706,image/png
3_Mug_Designs__Dogs03.png,2017-11-13 22:20:12,2022-09-04 20:43:03,78706,image/png
4. Datos de Visa.docx,2022-01-15 19:41:03,2023-11-22 23:55:48,23991,application/vnd.openxmlformats-officedocument.wordprocessingml.document
471610769507-6702362579-ticket.pdf,2023-05-26 16:32:02,2023-05-26 16:35:41,94507,application/pdf
4_googleplaces.py,2023-11-28 18:00:08,2023-11-29 15:49:00,5876,text/x-python
5. Manejo Bancario Canada.pdf,2021-11-23 22:05:05,2022-03-24 22:57:45,461060,application/pdf
595.Fulbright_application_form___protected.doc,2017-01-24 19:52:49,2023-07-24 20:15:05,168960,application/msword
6584522-EckhartTolle-ThePowerOfNow (1).pdf,2018-08-04 12:25:20,2022-03-24 22:57:45,695382,application/pdf
6584522-EckhartTolle-ThePowerOfNow.pdf,2018-06-22 20:07:11,2022-03-24 22:57:45,695382,application/pdf
6954-e0590596001623772859.pdf,2021-06-23 12:38:45,2022-03-24 22:57:45,38037,application/pdf
6_Visualización+del+conjunto+de+datos.ipynb,2024-03-17 16:11:34,2024-03-17 16:11:34,1880463,Desconocido
7z2401-x64.exe,2024-02-06 23:40:17,2024-03-31 11:42:55,1594143,application/x-msdownload
80119.mp4,2023-10-13 21:39:53,2023-11-25 11:08:34,113564877,video/mp4
851 VASCONEZ BALLESTERORS RUBN.pdf,2021-06-23 20:41:39,2022-03-24 22:57:45,347484,application/pdf
85987 (1).mp4,2023-11-06 19:48:29,2023-11-06 21:10:40,419971297,video/mp4
85987.mp4,2023-10-31 22:02:43,2023-10-31 23:09:47,419971297,video/mp4
86158.mp4,2023-10-31 21:18:19,2023-10-31 21:53:30,155139703,video/mp4
86785.mp4,2023-11-06 21:20:28,2023-11-06 22:48:13,99463856,video/mp4
86797.mp4,2023-11-06 21:20:39,2023-11-06 23:36:33,87936504,video/mp4
86853.mp4,2023-11-07 10:18:35,2023-11-07 11:29:57,314176991,video/mp4
86970.mp4,2023-11-07 16:01:06,2023-11-07 18:33:18,209816496,video/mp4
87144.mp4,2023-11-07 17:19:00,2023-11-07 20:50:38,199209671,video/mp4
872441879497 (1).pdf,2022-12-01 16:49:24,2022-12-01 16:54:12,55528,application/pdf
872441879497.pdf,2022-12-01 16:49:24,2022-12-01 16:54:14,55528,application/pdf
87636.mp4,2023-11-07 21:37:47,2023-11-18 20:08:37,224781399,video/mp4
88159.mp4,2023-11-09 09:50:54,2023-11-11 16:13:56,150058907,video/mp4
88730.mp4,2023-11-09 10:42:59,2023-11-11 16:13:54,91121548,video/mp4
88810.mp4,2023-11-09 11:30:23,2023-11-11 16:13:52,128949685,video/mp4
89173.mp4,2023-11-11 10:07:32,2023-11-11 16:13:47,437417904,video/mp4
89457.mp4,2023-11-09 12:34:08,2023-11-25 11:08:32,126684866,video/mp4
90c6a8cc-2551-47db-a5e2-caf968190154.jpg,2020-10-06 14:29:48,2023-09-16 21:38:26,78790,image/jpeg
91435.mp4,2023-11-15 22:03:16,2023-11-20 10:13:45,149223033,video/mp4
91466.mp4,2023-11-16 16:45:46,2023-11-20 10:13:44,141801923,video/mp4
91604.mp4,2023-11-16 16:46:10,2023-11-20 10:13:44,211346462,video/mp4
92341.mp4,2023-11-16 16:46:53,2023-11-21 16:43:36,165033285,video/mp4
92757.mp4,2023-11-16 16:47:13,2023-11-21 16:33:01,188580833,video/mp4
92994.mp4,2023-11-19 17:30:36,2023-11-25 14:06:39,123805026,video/mp4
92_ShrineDevelopment_ (1).pdf,2022-01-16 11:42:42,2022-03-24 22:57:46,126073,application/pdf
92_ShrineDevelopment_.pdf,2022-01-14 16:40:20,2022-03-24 22:57:46,126073,application/pdf
93489.mp4,2023-11-19 17:30:58,2023-11-20 10:13:44,140558452,video/mp4
93826 (1).mp4,2023-11-22 10:19:57,2023-11-22 11:10:50,220783928,video/mp4
93826.mp4,2023-11-20 17:46:40,2023-11-20 18:53:00,220783928,video/mp4
93_ShrineDevelopment_ (1).pdf,2022-01-10 15:28:50,2022-03-24 22:57:46,126106,application/pdf
93_ShrineDevelopment_.pdf,2022-01-10 11:57:55,2022-03-24 22:57:46,126106,application/pdf
94501.mp4,2023-11-22 10:20:05,2023-11-22 12:31:08,120751470,video/mp4
94524.mp4,2023-11-22 10:20:19,2023-11-22 11:05:39,133643458,video/mp4
95709.mp4,2023-11-23 19:15:17,2023-11-23 19:59:23,202766784,video/mp4
95945.mp4,2023-11-23 18:29:53,2023-12-02 16:15:22,170042269,video/mp4
97485.mp4,2023-11-29 19:28:30,2023-12-11 14:16:59,178467558,video/mp4
97564.mp4,2023-11-29 19:28:45,2023-12-11 14:16:52,118657852,video/mp4
9781781257654.pdf,2023-08-07 21:40:02,2023-09-04 20:01:18,3432667,application/pdf
97960.mp4,2023-11-29 19:30:23,2023-12-11 13:28:20,377688404,video/mp4
98229.mp4,2023-11-29 19:30:23,2023-12-11 13:28:25,218555995,video/mp4
98869.mp4,2023-12-02 11:34:44,2024-01-18 10:25:29,240209024,video/mp4
98922.mp4,2023-12-02 11:30:36,2023-12-11 19:33:31,326780420,video/mp4
99. Acerca del examen.pdf,2024-02-27 00:08:59,2024-02-27 00:09:01,594862,application/pdf
99378.mp4,2023-12-02 11:34:14,2023-12-11 14:17:04,365009618,video/mp4
99462.mp4,2023-12-02 11:25:34,2023-12-11 21:08:43,100179449,video/mp4
99881.mp4,2023-12-11 13:26:39,2023-12-11 13:32:06,362838680,video/mp4
99_ShrineDevelopment_ (1).pdf,2022-01-24 19:51:04,2022-03-24 22:57:46,124200,application/pdf
99_ShrineDevelopment_.pdf,2022-01-17 08:02:20,2022-03-24 22:57:46,124200,application/pdf
A-M - 2021 - 22yr Exp Director Cloud - SaaS - Multi Cloud - Engineering and Operations.docx,2022-02-25 08:18:52,2022-03-24 22:57:46,32184,application/vnd.openxmlformats-officedocument.wordprocessingml.document
A3-The Rise and Fall of Nortel.docx,2023-11-01 16:02:36,2023-11-15 20:37:46,17798,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Aaron D. Lancaster CV.pdf,2022-06-24 13:51:22,2022-06-24 13:52:09,91006,application/pdf
Aaron_Duke_s_Resume.pdf,2022-02-03 08:46:33,2022-03-24 22:57:46,123535,application/pdf
Aaron_Forsyth_resume.pdf,2022-02-10 14:49:10,2022-03-24 22:57:46,128572,application/pdf
abender CV.pdf,2022-05-12 12:19:13,2022-05-12 12:21:02,73392,application/pdf
Abhilash_Donepudi_resume.pdf,2022-02-07 08:44:56,2022-03-24 22:57:46,66882,application/pdf
Abhishek Bhardwaj CV.pdf,2022-05-19 11:19:50,2022-05-19 11:20:12,56017,application/pdf
Abhishek_Mittal.pdf,2022-04-01 12:27:34,2022-04-01 13:00:54,131161,application/pdf
abu_nasar_resume.pdf,2022-03-07 14:56:52,2022-03-24 22:57:46,61563,application/pdf
aby Boy! (1).png,2017-11-19 12:06:36,2022-09-04 20:43:04,1052673,image/png
aby Boy!.png,2017-11-19 15:18:21,2022-09-04 20:43:04,966110,image/png
academicpages.github.io-master.zip,2024-03-06 14:02:11,2024-03-06 14:02:23,1754295,application/x-zip-compressed
Accessibility Engineer JD.docx,2022-02-02 14:05:56,2022-03-24 22:57:46,15296,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Accidentes2022.csv,2023-08-29 14:23:51,2023-08-29 17:24:01,9829088,application/vnd.ms-excel
accidents_Ecuador.csv,2023-07-04 21:58:42,2023-07-05 19:39:01,2512841,application/vnd.ms-excel
ACCION-2020-02973-VASCONEZ BALLESTEROS RUBEN DARIO (1).pdf,2020-09-30 22:30:22,2022-03-24 22:57:47,27456,application/pdf
ACCION-2020-02973-VASCONEZ BALLESTEROS RUBEN DARIO (2).pdf,2020-09-30 22:30:38,2022-03-24 22:57:47,27456,application/pdf
ACCION-2020-02973-VASCONEZ BALLESTEROS RUBEN DARIO (3).pdf,2020-09-30 22:30:38,2022-03-24 22:57:47,27456,application/pdf
ACCION-2020-02973-VASCONEZ BALLESTEROS RUBEN DARIO.pdf,2020-09-30 18:10:01,2022-03-24 22:57:47,27456,application/pdf
accion-2021-01269-vasconez_ballesteros_ruben_dario (1).pdf,2021-05-24 19:30:45,2022-03-24 22:57:47,660412,application/pdf
accion-2021-01269-vasconez_ballesteros_ruben_dario.pdf,2021-05-24 19:30:34,2022-03-24 22:57:47,660412,application/pdf
Act1Razonamiento.docx,2023-12-02 23:55:07,2023-12-03 20:03:55,15135,application/vnd.openxmlformats-officedocument.wordprocessingml.document
ACTA DE COMPROMISO CCA (1).docx,2020-07-15 16:02:30,2022-03-24 22:57:47,16499,application/vnd.openxmlformats-officedocument.wordprocessingml.document
ACTA DE COMPROMISO CCA (2).docx,2020-07-15 16:07:39,2022-03-24 22:57:47,16499,application/vnd.openxmlformats-officedocument.wordprocessingml.document
ACTA DE COMPROMISO CCA (3).docx,2020-07-15 16:14:22,2022-03-24 22:57:47,16499,application/vnd.openxmlformats-officedocument.wordprocessingml.document
ACTA DE COMPROMISO CCA.docx,2020-07-15 16:02:24,2022-03-24 22:57:47,16499,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Actividad 1.docx,2023-11-06 19:40:51,2024-01-31 23:20:50,7528076,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Actividad 1_Neurociencia_Carlos Vasconez.docx,2023-11-26 23:34:16,2024-01-31 23:20:49,7538303,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Actividad 2 grupal Analisis.rar,2024-01-16 20:13:58,2024-01-16 20:13:58,653877,Desconocido
Actividad 2 Neuro Carlos Vasconez.docx,2023-12-17 23:53:52,2023-12-26 23:45:29,48479,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Actividad 3 (Grupal).docx,2024-01-31 15:14:46,2024-02-06 09:14:08,54890,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Actividad 3_Carlos Vasconez_Luis Cortes (1).docx,2024-02-05 15:08:19,2024-02-07 08:51:41,315098,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Actividad 3_Carlos Vasconez_Luis Cortes.docx,2024-02-04 23:33:18,2024-02-12 13:08:54,313739,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Actividad 3_Carlos Vasconez_Luis Cortes.pdf,2024-02-05 15:11:04,2024-02-05 15:11:10,1034644,application/pdf
Actividad grupal Analisis.docx,2024-01-19 09:38:51,2024-01-24 15:15:05,313526,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Actividad grupal.docx,2024-01-19 09:43:45,2024-01-26 18:48:38,313407,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Actividad RPA - Codigo Heidi.mkv,2023-12-09 15:22:26,2023-12-11 13:33:54,115261508,video/x-matroska
Actividad.docx,2023-12-09 14:44:32,2023-12-11 09:57:34,139914,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Actividad_1-1 (1).zip,2023-10-02 23:35:44,2023-10-02 23:35:47,72089,application/x-zip-compressed
Actividad_1-1.zip,2023-09-30 10:45:14,2023-09-30 10:52:31,72089,application/x-zip-compressed
ACUERDO DE RESPONSABILIDAD Y USO DE LA INFORMACION.pdf,2021-02-28 11:53:47,2022-03-24 22:57:47,115148,application/pdf
Acuerdo de Responsabilidad y Uso de Medios Electrónicos.pdf,2020-06-23 11:13:23,2022-03-24 22:57:47,195978,application/pdf
Acuerdo_de_Confidencialidad_para_el_Uso_de_Herramientas_Tecnológicas_y_Sistemas_de_Información.docx,2020-06-23 11:22:07,2024-01-31 23:21:29,53294,application/vnd.openxmlformats-officedocument.wordprocessingml.document
ad-campaign-data.zip,2022-09-22 10:54:33,2022-09-22 15:25:16,2457,application/x-zip-compressed
Adel Daouzli CV.pdf,2022-05-11 10:56:30,2022-05-11 11:14:20,51668,application/pdf
ADMINISTRACIÓN - GTH.docx,2023-04-19 15:35:01,2023-09-18 20:32:16,19818,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Adnan Akram CV.pdf,2022-06-24 15:47:15,2022-06-24 15:51:44,67807,application/pdf
Adnan Resume_2022.docx,2022-06-24 16:31:56,2022-07-08 09:33:39,170769,application/vnd.openxmlformats-officedocument.wordprocessingml.document
